TotalScore,TotalLevelsCrossed,TotalEnemiesKilled,TotalTimeRequired
700.0,4,13,3.32
400.0,3,7,2.12
250.0,3,4,0.91
250.0,1,4,8.69
450.0,3,8,2.37
1410.0,6,26,8.29
520.0,3,8,1.77
450.0,2,8,8.57
1410.0,6,26,8.04
650.0,3,12,1.55
800.0,3,15,3.17
920.0,4,16,3.19
910.0,3,16,4.21
970.0,4,17,6.48
500.0,3,9,2.97
1260.0,6,23,4.69
450.0,3,8,3.26
200.0,3,3,0.86
850.0,4,16,1.81
650.0,4,12,2.22
1430.0,6,25,5.78
150.0,3,2,1.09
400.0,2,7,7.69
490.0,3,8,1.65
550.0,3,10,2.78
250.0,1,4,8.03
600.0,3,11,1.54
710.0,3,12,2.45
600.0,3,11,1.61
820.0,5,14,4.71
500.0,3,9,1.62
550.0,3,10,2.38
850.0,4,16,3.82
450.0,3,8,1.65
960.0,4,17,4.07
870.0,3,14,4.42
600.0,3,11,1.6
500.0,3,9,2.18
850.0,4,16,4.51
650.0,2,12,7.65
950.0,4,18,5.59
550.0,2,10,7.83
500.0,3,9,1.83
250.0,3,4,0.98
500.0,2,9,7.5
750.0,3,14,4.36
450.0,3,8,1.33
400.0,3,7,1.46
1530.0,6,27,7.27
600.0,3,11,1.85
450.0,3,6,1.34
300.0,3,5,1.11
650.0,4,12,2.87
750.0,4,14,3.02
490.0,3,8,5.34
450.0,3,8,2.35
550.0,4,10,2.08
450.0,3,8,1.27
960.0,3,17,7.71
900.0,4,17,3.08
760.0,3,13,4.14
450.0,3,8,2.0
400.0,3,7,1.04
600.0,2,11,7.77
500.0,3,9,3.99
800.0,4,15,3.83
1440.0,6,27,7.78
550.0,3,10,1.82
500.0,3,9,1.61
400.0,3,7,1.35
450.0,3,8,1.7
1920.0,7,36,7.57
1160.0,5,19,5.69
800.0,4,15,4.15
600.0,3,11,2.47
1210.0,5,22,6.36
800.0,4,15,2.07
300.0,3,5,1.09
450.0,3,8,1.19
800.0,4,15,2.98
300.0,3,5,1.11
550.0,3,10,7.72
820.0,3,14,5.72
450.0,3,8,2.48
660.0,4,9,3.82
750.0,3,14,2.19
900.0,3,17,2.65
1670.0,7,31,5.8
350.0,3,6,1.65
900.0,4,17,3.93
800.0,4,15,4.29
450.0,3,8,2.23
650.0,3,12,2.15
650.0,4,12,4.54
700.0,3,13,2.77
1720.0,7,30,4.39
550.0,3,10,2.25
710.0,3,12,2.68
500.0,3,9,2.18
750.0,4,14,3.77
920.0,3,15,4.98
350.0,2,6,7.45
800.0,3,15,7.69
250.0,3,4,1.28
400.0,3,7,1.1
500.0,3,9,3.94
500.0,3,9,3.09
600.0,3,11,1.27
690.0,3,12,3.61
1470.0,6,26,5.74
650.0,4,12,7.85
600.0,2,11,7.59
600.0,4,11,2.18
600.0,4,11,4.82
750.0,4,14,4.98
650.0,3,12,2.66
500.0,4,9,2.2
700.0,3,13,7.68
1820.0,6,32,6.82
850.0,4,16,5.66
600.0,3,11,1.85
700.0,4,13,6.07
440.0,3,7,1.26
700.0,3,13,4.21
750.0,4,14,2.3
450.0,3,8,1.26
600.0,3,11,2.05
600.0,3,11,1.96
500.0,3,9,1.37
850.0,4,16,2.04
960.0,3,17,2.38
500.0,3,9,2.24
800.0,4,13,4.68
900.0,3,15,2.08
200.0,3,3,1.43
860.0,3,15,7.75
450.0,3,8,1.77
450.0,3,8,1.47
900.0,5,17,2.11
300.0,3,5,1.15
550.0,3,10,1.35
